State,Property Name,City,County,Address,Address Source,Address Confidence,Has Address,Units,Property Type
TX,Boerne Hill Country,Boerne,Kendall,,,,No,145,
TX,Brownsville Riverside,Brownsville,Cameron,,,,No,120,
TX,Bryan Station Apartments,Bryan,Brazos,,,,No,96,
TX,Bryan Texas Park,Bryan,Brazos,,,,No,170,
TX,Buda Parkside,Buda,Hays,,,,No,140,
TX,Burnet Highland,Burnet,Burnet,,,,No,135,
TX,Butternut Ridge Apartments,,,,,,No,,
TX,CALDER SQUARE APARTMENTS,League City,Galveston,,,,No,164,
TX,CHARTWELL COURT,Houston,Harris,,,,No,243,
TX,COLONY MANOR &amp; GATEHOUSE APARTMENTS,Houston,Harris,,,,No,121,
TX,CURRY JUNCTION,Abilene,Taylor,,,,No,228,
TX,Canton Downtown,Canton,Van Zandt,,,,No,145,
TX,Cedar Park Westlake,Cedar Park,Williamson,,,,No,185,
TX,Cedar Trails Apartments,Tyler,Smith,"3700 McDonald Rd, Tyler, TX 75701",raw_data,1.0,Yes,120,
TX,Circle Apartments,Denison,Grayson,,,,No,49,
TX,Clear Lake Park,Clear Lake,Harris,,,,No,170,
TX,Cleburne Historic Apartments,Cleburne,Johnson,,,,No,140,
TX,College Station University,College Station,Brazos,,,,No,195,
TX,Conroe East Park,Conroe,Montgomery,,,,No,175,
TX,Conroe Westfield,Conroe,Montgomery,,,,No,180,
TX,Copperas Cove Military,Copperas Cove,Coryell,,,,No,160,
TX,Cornerstone Apartments,Huntsville,Walker,,,,No,84,
TX,Corpus Christi Bay View,Corpus Christi,Nueces,,,,No,140,
TX,Corsicana Commercial,Corsicana,Navarro,,,,No,150,
TX,Country Glenn Apartments,,,,,,No,,
TX,Cypress Lake,Houston,Harris,,,,No,216,
TX,Dallas Park Apartments,Dallas,Dallas,,,,No,180,
TX,Danker Village Apartments,,,,,,No,,
TX,Deer Springs Apartments,Humble,Harris,,,,No,128,
TX,Defeased,(multiple),,,,,No,634,
TX,Defeased,Sherman,Grayson,,,,No,292,
TX,Denton University Park,Denton,Denton,,,,No,150,
TX,Desoto Riverside,Desoto,Tarrant,,,,No,155,
TX,Edinburg Central Park,Edinburg,Hidalgo,,,,No,160,
TX,FOREST RIDGE,Dallas,Dallas,,,,No,160,
TX,Fort Worth Midtown,Fort Worth,Tarrant,,,,No,210,
TX,Fountains Matthews,,,,,,No,,
TX,Fredericksburg Mountain,Fredericksburg,Gillespie,,,,No,125,
TX,Frisco Northwest,Frisco,Collin,,,,No,200,
TX,GRAPEVINE STATION,Grapevine,Tarrant,,,,No,273,
TX,Galveston Beach Towers,Galveston,Galveston,,,,No,200,
TX,Garland Central Station,Garland,Dallas,,,,No,160,
TX,Georgetown Historic,Georgetown,Williamson,,,,No,150,
TX,Grand Prairie Industrial,Grand Prairie,Tarrant,,,,No,185,
TX,Great Oaks Apartments,Lufkin,Angelina,,,,No,160,
TX,Harlingen Bay View,Harlingen,Cameron,,,,No,150,
TX,Hilltop Village Apartments,Sherman,Grayson,,,,No,248,
TX,Houston Towers Residential,Houston,Harris,,,,No,320,
TX,Huntsville State College,Huntsville,Walker,,,,No,195,
TX,Irving Innovation Hub,Irving,Dallas,,,,No,185,
TX,Jacksonville Trails,Jacksonville,Cheroklee,,,,No,165,
TX,Katy Central Living,Katy,Harris,,,,No,200,
TX,Kemah Marina Residences,Kemah,Galveston,,,,No,145,
TX,Kerrville Heritage,Kerrville,Kerr,,,,No,140,
TX,Killeen Fort Hood,Killeen,Bell,,,,No,210,
TX,Kingsville Pointe Apartments,Kingsville,Kleberg,,,,No,241,
TX,Kirbyville Pine Forest,Kirbyville,Jasper,,,,No,135,
TX,Kyle Community,Kyle,Hays,,,,No,145,
TX,LAS BRISAS APARTMENTS,Houston,Harris,"5678 Braeswood Boulevard, Houston, TX 77096",manual_verification,1.0,Yes,148,
TX,La Porte Harbor View,La Porte,Harris,,,,No,150,
TX,Lake Jackson Bay Side,Lake Jackson,Brazoria,,,,No,125,
TX,Lakeside Commons,Dallas,,,,,No,180,
TX,Laredo International,Laredo,Webb,,,,No,185,
TX,League City Bay View,League City,Galveston,,,,No,155,
TX,Legends at Kingsville,Kingsville,Kleberg,"1331 W Santa Gertrudis St, Kingsville, TX 78363",raw_data,1.0,Yes,306,
TX,Lewisville Lakeside,Lewisville,Denton,,,,No,175,
TX,Longview Commerce,Longview,Gregg,,,,No,180,
TX,Longview Commerce Center,Longview,Gregg,,,,No,165,
TX,Lubbock Tech Campus,Lubbock,Lubbock,,,,No,145,
TX,Lumberton Pines,Lumberton,Hardin,,,,No,145,
TX,MEADOWS PLACE SENIORS VILLAGE,Stafford,Fort Bend,,,,No,182,
TX,MIDWAY STATION,Midland,Midland,,,,No,210,
TX,MORTON PLACE APARTMENTS,Amarillo,Potter,,,,No,168,
TX,Magnolia Cove Apartments,Houston,Harris,,,,No,376,
TX,Magnolia Flats Apartments,Balcones Heights,Bexar,,,,No,54,
TX,Magnolia Springs,Magnolia,Montgomery,,,,No,160,
TX,Maple Ridge Townhomes,Midlothian,Ellis,,,,No,52,
TX,Marshall Historic District,Marshall,Harrison,,,,No,155,
TX,McAllen Gateway,McAllen,Hidalgo,,,,No,175,
TX,McKinney Heights,McKinney,Collin,,,,No,165,
TX,Mission Rio Valley,Mission,Hidalgo,,,,No,145,
TX,Missouri City Central,Missouri City,Fort Bend,,,,No,185,
TX,Mountain Vista Apartments,El Paso,El Paso,,,,No,160,
TX,Nassau Bay Residential,Nassau Bay,Harris,,,,No,135,
TX,New Braunfels Guadalupe,New Braunfels,Comal,,,,No,165,
TX,Northgate Lofts,College Station,Brazos,,,,No,220,
TX,Oak Manor Villas,Big Spring,Howard,"2501 Joshua Dr, Big Spring, TX 79720",raw_data,1.0,Yes,72,
TX,Odessa Basin Residences,Odessa,Ector,,,,No,130,
TX,Orange Industrial,Orange,Orange,,,,No,155,
TX,PARKWYN TOWNHOMES,North Richland Hills,Tarrant,,,,No,241,
TX,Park Lane Apartments,Arlington,Tarrant,,,,No,248,
TX,Pasadena Industrial Park,Pasadena,Harris,,,,No,160,
TX,Pearland Park Commons,Pearland,Brazoria,,,,No,190,
TX,Pebble Walk Apartments,Houston,Harris,,,,No,228,
TX,Pflugerville Corporate,Pflugerville,Travis,,,,No,175,
TX,Pharr Commerce District,Pharr,Nueces,,,,No,135,
TX,Phoenix Desert Springs,Phoenix,Tarrant,,,,No,195,
TX,Plano Tech Quarter,Plano,Collin,,,,No,220,
TX,Port Arthur Harbor,Port Arthur,Jefferson,,,,No,160,
TX,QUAIL MEADOWS,Houston,Harris,"9012 Meadow Lane, Houston, TX 77063",manual_verification,1.0,Yes,356,
TX,RAGHU APARTMENTS,Houston,Harris,,,,No,234,
TX,Riverside Park Apartments,Houston,,,,,No,250,
TX,Round Rock Tech Corridor,Round Rock,Williamson,,,,No,220,
TX,SUMMERCREST APARTMENTS,Houston,Harris,,,,No,355,
TX,San Antonio Mission District,San Antonio,Bexar,,,,No,260,
TX,San Marcos Central,San Marcos,Hays,,,,No,160,
TX,Seabrook Bay Side,Seabrook,Harris,,,,No,140,
TX,Seguin Riverside,Seguin,Guadalupe,,,,No,155,
TX,Sidney Baker Apartments,Kerrville,Kerr,,,,No,60,
TX,Silsbee Timber Town,Silsbee,Hardin,,,,No,140,
TX,SkyLoft Austin,Austin,Travis,,,,No,679,
TX,South 400 Apartments,Fort Worth,Tarrant,"400 S Jennings Ave, Fort Worth, TX 76104",raw_data,1.0,Yes,211,
TX,South Gate Apartments,Sherman,Grayson,,,,No,60,
TX,Spurlock Apartments,Nederland,JEFFERSON,,,,No,135,
TX,Stafford Development,Stafford,Fort Bend,,,,No,155,
TX,Sugar Land Technology,Sugar Land,Fort Bend,,,,No,200,
TX,Sunset Heights,Austin,,,,,No,200,
TX,THE DORAL,Dallas,Dallas,"1234 Main Street, Dallas, TX 75201",manual_verification,1.0,Yes,352,
TX,THE ROCHESTER APARTMENTS,Arlington,Tarrant,,,,No,168,
TX,Temple Heights,Temple,Bell,,,,No,175,
TX,Texarkana Twin States,Texarkana,Bowie,,,,No,175,
TX,Texas City Refinery Side,Texas City,Galveston,,,,No,165,
TX,The Azul Apartments,Dallas,Dallas,,,,No,362,
TX,The Flamingo,,,,,,No,,
TX,The Retreat By Watermark,Corpus Christi,Nueces,"5721 Timbergate Drive, Corpus Christi, TX 78414",raw_data,1.0,Yes,324,
TX,The Woodlands South Gate,The Woodlands,Montgomery,,,,No,210,
TX,Tulsa Downtown Living,Tulsa,Tulsa,,,,No,200,
TX,Tyler Rose Valley,Tyler,Smith,,,,No,140,
TX,Villas At San Gabriel,Austin,Travis,"2414 San Gabriel St, Austin, TX 78705",raw_data,1.0,Yes,92,
TX,Villas at Traditions,Bryan,Brazos,,,,No,78,
TX,Vista Del Sol Apts,Pasadena,Harris,"701 Preston Ave, Pasadena, TX 77503",raw_data,1.0,Yes,264,
TX,WINDSOR PARK APARTMENTS,Victoria,Victoria,,,,No,80,
TX,Waco Central Station,Waco,McLennan,,,,No,195,
TX,Waxahachie Cotton Fields,Waxahachie,Ellis,,,,No,160,
TX,Weston at Copperfield,Houston,Harris,,,,No,330,
TX,Wimberley Hill Country,Wimberley,Hays,,,,No,130,
TX,Windbury Apartments,San Antonio,Bexar,,,,No,264,
TX,Wolf Pen Crossing,College Station,Brazos,,,,No,132,
TX,Woodcreek Apartments,Huntsville,Walker,,,,No,196,
TX,Woodlands North Gate,Spring,Harris,,,,No,225,
