Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Woodland Trace Apartments,Conyers,Rockdale,GA,https://www.google.com/search?q=Woodland+Trace+Apartments+Conyers+GA+website,https://www.apartments.com/search/?q=Woodland+Trace+Apartments+Conyers+GA,https://www.google.com/search?q=Woodland+Trace+Apartments+Conyers+property+management+company,,official,,,,1.0,manual_verification,
Studio 9Forty Apartments,Atlanta,Fulton,GA,https://www.google.com/search?q=Studio+9Forty+Apartments+Atlanta+GA+website,https://www.apartments.com/search/?q=Studio+9Forty+Apartments+Atlanta+GA,https://www.google.com/search?q=Studio+9Forty+Apartments+Atlanta+property+management+company,,official,,,,1.0,manual_verification,
Bedford Park,Atlanta,DeKalb,GA,https://www.google.com/search?q=Bedford+Park+Atlanta+GA+website,https://www.apartments.com/search/?q=Bedford+Park+Atlanta+GA,https://www.google.com/search?q=Bedford+Park+Atlanta+property+management+company,,official,,,,1.0,manual_verification,
Legacy Commons,Tucker,Gwinnett,GA,https://www.google.com/search?q=Legacy+Commons+Tucker+GA+website,https://www.apartments.com/search/?q=Legacy+Commons+Tucker+GA,https://www.google.com/search?q=Legacy+Commons+Tucker+property+management+company,,official,,,,1.0,manual_verification,
Stanford Oaks,Tucker,DeKalb,GA,https://www.google.com/search?q=Stanford+Oaks+Tucker+GA+website,https://www.apartments.com/search/?q=Stanford+Oaks+Tucker+GA,https://www.google.com/search?q=Stanford+Oaks+Tucker+property+management+company,,official,,,,1.0,manual_verification,
Bella Grand,Marietta,Cobb,GA,https://www.google.com/search?q=Bella+Grand+Marietta+GA+website,https://www.apartments.com/search/?q=Bella+Grand+Marietta+GA,https://www.google.com/search?q=Bella+Grand+Marietta+property+management+company,,official,,,,1.0,manual_verification,
Valleybrook Apartments,Newnan,Coweta,GA,https://www.google.com/search?q=Valleybrook+Apartments+Newnan+GA+website,https://www.apartments.com/search/?q=Valleybrook+Apartments+Newnan+GA,https://www.google.com/search?q=Valleybrook+Apartments+Newnan+property+management+company,,official,,,,1.0,manual_verification,
ASHGROVE APARTMENTS,Stone Mountain,DeKalb,GA,https://www.google.com/search?q=ASHGROVE+APARTMENTS+Stone+Mountain+GA+website,https://www.apartments.com/search/?q=ASHGROVE+APARTMENTS+Stone+Mountain+GA,https://www.google.com/search?q=ASHGROVE+APARTMENTS+Stone+Mountain+property+management+company,,official,,,,1.0,manual_verification,
GREENHILL APARTMENTS,Columbus,Muscogee,GA,https://www.google.com/search?q=GREENHILL+APARTMENTS+Columbus+GA+website,https://www.apartments.com/search/?q=GREENHILL+APARTMENTS+Columbus+GA,https://www.google.com/search?q=GREENHILL+APARTMENTS+Columbus+property+management+company,,official,,,,1.0,manual_verification,
Southern Woods,Tucker,GWINNETT,GA,https://www.google.com/search?q=Southern+Woods+Tucker+GA+website,https://www.apartments.com/search/?q=Southern+Woods+Tucker+GA,https://www.google.com/search?q=Southern+Woods+Tucker+property+management+company,,official,,,,1.0,manual_verification,
CHAMBLEE HEIGHTS,Chamblee,DeKalb,GA,https://www.google.com/search?q=CHAMBLEE+HEIGHTS+Chamblee+GA+website,https://www.apartments.com/search/?q=CHAMBLEE+HEIGHTS+Chamblee+GA,https://www.google.com/search?q=CHAMBLEE+HEIGHTS+Chamblee+property+management+company,,official,,,,1.0,manual_verification,
Peach Tree Lofts,Atlanta,,GA,https://www.google.com/search?q=Peach+Tree+Lofts+Atlanta+GA+website,https://www.apartments.com/search/?q=Peach+Tree+Lofts+Atlanta+GA,https://www.google.com/search?q=Peach+Tree+Lofts+Atlanta+property+management+company,,official,,,,1.0,manual_verification,
Peachtree Multifamily One,Atlanta,Fulton,GA,https://www.google.com/search?q=Peachtree+Multifamily+One+Atlanta+GA+website,https://www.apartments.com/search/?q=Peachtree+Multifamily+One+Atlanta+GA,https://www.google.com/search?q=Peachtree+Multifamily+One+Atlanta+property+management+company,,official,,,,1.0,manual_verification,
Savannah Historic Residences,Savannah,Chatham,GA,https://www.google.com/search?q=Savannah+Historic+Residences+Savannah+GA+website,https://www.apartments.com/search/?q=Savannah+Historic+Residences+Savannah+GA,https://www.google.com/search?q=Savannah+Historic+Residences+Savannah+property+management+company,,official,,,,1.0,manual_verification,
Augusta Park Apartments,Augusta,Richmond,GA,https://www.google.com/search?q=Augusta+Park+Apartments+Augusta+GA+website,https://www.apartments.com/search/?q=Augusta+Park+Apartments+Augusta+GA,https://www.google.com/search?q=Augusta+Park+Apartments+Augusta+property+management+company,,official,,,,1.0,manual_verification,
Macon Central Park,Macon,Bibb,GA,https://www.google.com/search?q=Macon+Central+Park+Macon+GA+website,https://www.apartments.com/search/?q=Macon+Central+Park+Macon+GA,https://www.google.com/search?q=Macon+Central+Park+Macon+property+management+company,,official,,,,1.0,manual_verification,
Athens College Town,Athens,Clarke,GA,https://www.google.com/search?q=Athens+College+Town+Athens+GA+website,https://www.apartments.com/search/?q=Athens+College+Town+Athens+GA,https://www.google.com/search?q=Athens+College+Town+Athens+property+management+company,,official,,,,1.0,manual_verification,
Riverwalk Augusta,Augusta,Richmond,GA,https://www.google.com/search?q=Riverwalk+Augusta+Augusta+GA+website,https://www.apartments.com/search/?q=Riverwalk+Augusta+Augusta+GA,https://www.google.com/search?q=Riverwalk+Augusta+Augusta+property+management+company,,official,,,,1.0,manual_verification,
Summerville Court,Augusta,Richmond,GA,https://www.google.com/search?q=Summerville+Court+Augusta+GA+website,https://www.apartments.com/search/?q=Summerville+Court+Augusta+GA,https://www.google.com/search?q=Summerville+Court+Augusta+property+management+company,,official,,,,1.0,manual_verification,
Hill District Flats,Augusta,Richmond,GA,https://www.google.com/search?q=Hill+District+Flats+Augusta+GA+website,https://www.apartments.com/search/?q=Hill+District+Flats+Augusta+GA,https://www.google.com/search?q=Hill+District+Flats+Augusta+property+management+company,,official,,,,1.0,manual_verification,
Savannah Trellis,Savannah,Chatham,GA,https://www.google.com/search?q=Savannah+Trellis+Savannah+GA+website,https://www.apartments.com/search/?q=Savannah+Trellis+Savannah+GA,https://www.google.com/search?q=Savannah+Trellis+Savannah+property+management+company,,official,,,,1.0,manual_verification,
Tybee Gateway,Savannah,Chatham,GA,https://www.google.com/search?q=Tybee+Gateway+Savannah+GA+website,https://www.apartments.com/search/?q=Tybee+Gateway+Savannah+GA,https://www.google.com/search?q=Tybee+Gateway+Savannah+property+management+company,,official,,,,1.0,manual_verification,
Forsyth Row,Savannah,Chatham,GA,https://www.google.com/search?q=Forsyth+Row+Savannah+GA+website,https://www.apartments.com/search/?q=Forsyth+Row+Savannah+GA,https://www.google.com/search?q=Forsyth+Row+Savannah+property+management+company,,official,,,,1.0,manual_verification,
Landings Edge,Savannah,Chatham,GA,https://www.google.com/search?q=Landings+Edge+Savannah+GA+website,https://www.apartments.com/search/?q=Landings+Edge+Savannah+GA,https://www.google.com/search?q=Landings+Edge+Savannah+property+management+company,,official,,,,1.0,manual_verification,
Perimeter Bend (control),Augusta,Richmond,GA,https://www.google.com/search?q=Perimeter+Bend+(control)+Augusta+GA+website,https://www.apartments.com/search/?q=Perimeter+Bend+(control)+Augusta+GA,https://www.google.com/search?q=Perimeter+Bend+(control)+Augusta+property+management+company,,official,,,,1.0,manual_verification,
