Property Name,City,County,State,Google Search Link,Apartments.com Link,Management Company Link,Property Website (to be filled),Website Type,Phone Number,Email Address,Management Company,Confidence,Source,Notes
Columbia Arms and Aspen-Alpine Apartments,Lake City,Columbia,FL,https://www.google.com/search?q=Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+FL+website,https://www.apartments.com/search/?q=Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+FL,https://www.google.com/search?q=Columbia+Arms+and+Aspen-Alpine+Apartments+Lake+City+property+management+company,,official,,,,1.0,manual_verification,
The Avenue,Davie,Broward,FL,https://www.google.com/search?q=The+Avenue+Davie+FL+website,https://www.apartments.com/search/?q=The+Avenue+Davie+FL,https://www.google.com/search?q=The+Avenue+Davie+property+management+company,,official,,,,1.0,manual_verification,
Wilton Walk Townhomes,Wilton Manors,Broward,FL,https://www.google.com/search?q=Wilton+Walk+Townhomes+Wilton+Manors+FL+website,https://www.apartments.com/search/?q=Wilton+Walk+Townhomes+Wilton+Manors+FL,https://www.google.com/search?q=Wilton+Walk+Townhomes+Wilton+Manors+property+management+company,,official,,,,1.0,manual_verification,
The Club at Crystal Lake,Deerfield Beach,Broward,FL,https://www.google.com/search?q=The+Club+at+Crystal+Lake+Deerfield+Beach+FL+website,https://www.apartments.com/search/?q=The+Club+at+Crystal+Lake+Deerfield+Beach+FL,https://www.google.com/search?q=The+Club+at+Crystal+Lake+Deerfield+Beach+property+management+company,,official,,,,1.0,manual_verification,
Rolling Hills,Orlando,Orange,FL,https://www.google.com/search?q=Rolling+Hills+Orlando+FL+website,https://www.apartments.com/search/?q=Rolling+Hills+Orlando+FL,https://www.google.com/search?q=Rolling+Hills+Orlando+property+management+company,,official,,,,1.0,manual_verification,
The Courtyards at San Jose,Jacksonville,Duval,FL,https://www.google.com/search?q=The+Courtyards+at+San+Jose+Jacksonville+FL+website,https://www.apartments.com/search/?q=The+Courtyards+at+San+Jose+Jacksonville+FL,https://www.google.com/search?q=The+Courtyards+at+San+Jose+Jacksonville+property+management+company,,official,,,,1.0,manual_verification,
Cane Island Loop,Kissimmee,Osceola,FL,https://www.google.com/search?q=Cane+Island+Loop+Kissimmee+FL+website,https://www.apartments.com/search/?q=Cane+Island+Loop+Kissimmee+FL,https://www.google.com/search?q=Cane+Island+Loop+Kissimmee+property+management+company,,official,,,,1.0,manual_verification,
Lynn Haven Cove,Lynn Haven,Bay,FL,https://www.google.com/search?q=Lynn+Haven+Cove+Lynn+Haven+FL+website,https://www.apartments.com/search/?q=Lynn+Haven+Cove+Lynn+Haven+FL,https://www.google.com/search?q=Lynn+Haven+Cove+Lynn+Haven+property+management+company,,official,,,,1.0,manual_verification,
The Gables,Kissimmee,Osceola,FL,https://www.google.com/search?q=The+Gables+Kissimmee+FL+website,https://www.apartments.com/search/?q=The+Gables+Kissimmee+FL,https://www.google.com/search?q=The+Gables+Kissimmee+property+management+company,,official,,,,1.0,manual_verification,
Portofino Cove,Fort Myers,Lee,FL,https://www.google.com/search?q=Portofino+Cove+Fort+Myers+FL+website,https://www.apartments.com/search/?q=Portofino+Cove+Fort+Myers+FL,https://www.google.com/search?q=Portofino+Cove+Fort+Myers+property+management+company,,official,,,,1.0,manual_verification,
Danube Apartments,Orlando,Orange,FL,https://www.google.com/search?q=Danube+Apartments+Orlando+FL+website,https://www.apartments.com/search/?q=Danube+Apartments+Orlando+FL,https://www.google.com/search?q=Danube+Apartments+Orlando+property+management+company,,official,,,,1.0,manual_verification,
Backlot Apartments,Kissimmee,Osceola,FL,https://www.google.com/search?q=Backlot+Apartments+Kissimmee+FL+website,https://www.apartments.com/search/?q=Backlot+Apartments+Kissimmee+FL,https://www.google.com/search?q=Backlot+Apartments+Kissimmee+property+management+company,,official,,,,1.0,manual_verification,
Bella Vista Village,Gainesville,Alachua,FL,https://www.google.com/search?q=Bella+Vista+Village+Gainesville+FL+website,https://www.apartments.com/search/?q=Bella+Vista+Village+Gainesville+FL,https://www.google.com/search?q=Bella+Vista+Village+Gainesville+property+management+company,,official,,,,1.0,manual_verification,
CRYSTAL LAKE APARTMENTS,Pensacola,Escambia,FL,https://www.google.com/search?q=CRYSTAL+LAKE+APARTMENTS+Pensacola+FL+website,https://www.apartments.com/search/?q=CRYSTAL+LAKE+APARTMENTS+Pensacola+FL,https://www.google.com/search?q=CRYSTAL+LAKE+APARTMENTS+Pensacola+property+management+company,,official,,,,1.0,manual_verification,
Palm Beach Gardens,West Palm Beach,,FL,https://www.google.com/search?q=Palm+Beach+Gardens+West+Palm+Beach+FL+website,https://www.apartments.com/search/?q=Palm+Beach+Gardens+West+Palm+Beach+FL,https://www.google.com/search?q=Palm+Beach+Gardens+West+Palm+Beach+property+management+company,,official,,,,1.0,manual_verification,
Tampa Bay Heights,Tampa,Hillsborough,FL,https://www.google.com/search?q=Tampa+Bay+Heights+Tampa+FL+website,https://www.apartments.com/search/?q=Tampa+Bay+Heights+Tampa+FL,https://www.google.com/search?q=Tampa+Bay+Heights+Tampa+property+management+company,,official,,,,1.0,manual_verification,
Miami Beach Residences,Miami,Miami-Dade,FL,https://www.google.com/search?q=Miami+Beach+Residences+Miami+FL+website,https://www.apartments.com/search/?q=Miami+Beach+Residences+Miami+FL,https://www.google.com/search?q=Miami+Beach+Residences+Miami+property+management+company,,official,,,,1.0,manual_verification,
Jacksonville Waterfront,Jacksonville,Duval,FL,https://www.google.com/search?q=Jacksonville+Waterfront+Jacksonville+FL+website,https://www.apartments.com/search/?q=Jacksonville+Waterfront+Jacksonville+FL,https://www.google.com/search?q=Jacksonville+Waterfront+Jacksonville+property+management+company,,official,,,,1.0,manual_verification,
Orlando Gateway Apartments,Orlando,Orange,FL,https://www.google.com/search?q=Orlando+Gateway+Apartments+Orlando+FL+website,https://www.apartments.com/search/?q=Orlando+Gateway+Apartments+Orlando+FL,https://www.google.com/search?q=Orlando+Gateway+Apartments+Orlando+property+management+company,,official,,,,1.0,manual_verification,
Gainesville Campus Quarter,Gainesville,Alachua,FL,https://www.google.com/search?q=Gainesville+Campus+Quarter+Gainesville+FL+website,https://www.apartments.com/search/?q=Gainesville+Campus+Quarter+Gainesville+FL,https://www.google.com/search?q=Gainesville+Campus+Quarter+Gainesville+property+management+company,,official,,,,1.0,manual_verification,
Pensacola Historic District,Pensacola,Escambia,FL,https://www.google.com/search?q=Pensacola+Historic+District+Pensacola+FL+website,https://www.apartments.com/search/?q=Pensacola+Historic+District+Pensacola+FL,https://www.google.com/search?q=Pensacola+Historic+District+Pensacola+property+management+company,,official,,,,1.0,manual_verification,
Jacksonvile Beach Towers,Jacksonville,Duval,FL,https://www.google.com/search?q=Jacksonvile+Beach+Towers+Jacksonville+FL+website,https://www.apartments.com/search/?q=Jacksonvile+Beach+Towers+Jacksonville+FL,https://www.google.com/search?q=Jacksonvile+Beach+Towers+Jacksonville+property+management+company,,official,,,,1.0,manual_verification,
Ashton Parc,,,FL,https://www.google.com/search?q=Ashton+Parc++FL+website,https://www.apartments.com/search/?q=Ashton+Parc++FL,https://www.google.com/search?q=Ashton+Parc++property+management+company,,official,,,,1.0,manual_verification,
Cobblestone at Eagle Harbor,,,FL,https://www.google.com/search?q=Cobblestone+at+Eagle+Harbor++FL+website,https://www.apartments.com/search/?q=Cobblestone+at+Eagle+Harbor++FL,https://www.google.com/search?q=Cobblestone+at+Eagle+Harbor++property+management+company,,official,,,,1.0,manual_verification,
