Loan Identifier,Property Name,City,State,Units,Interest Rate,Maturity Date,Current Balance,Original Balance,Debt Service Coverage Ratio,Physical Occupancy,Net Operating Income,County
FM086,Nassau Bay Residential,Nassau Bay,TX,135,4.750,2026-03-31,13500000,13800000,1.16,0.83,1485000,Harris
FM087,Clear Lake Park,Clear Lake,TX,170,4.375,2027-06-30,17000000,17300000,1.26,0.89,2210000,Harris
FM088,Stafford Development,Stafford,TX,155,4.250,2027-12-31,15500000,15800000,1.27,0.91,1953000,Fort Bend
FM089,Sugar Land Technology,Sugar Land,TX,200,4.125,2028-09-30,20000000,20400000,1.32,0.93,2600000,Fort Bend
FM090,Missouri City Central,Missouri City,TX,185,4.000,2029-01-31,18500000,18800000,1.39,0.94,2497500,Fort Bend
FM091,Magnolia Springs,Magnolia,TX,160,4.250,2027-12-31,16000000,16300000,1.28,0.92,2080000,Montgomery
FM092,The Woodlands South Gate,The Woodlands,TX,210,4.125,2028-06-30,21000000,21400000,1.30,0.92,2730000,Montgomery
FM093,Conroe East Park,Conroe,TX,175,4.375,2027-03-31,17500000,17800000,1.26,0.90,2187500,Montgomery
FM094,Huntsville State College,Huntsville,TX,195,4.250,2027-09-30,19500000,19800000,1.29,0.92,2475000,Walker
FM095,Beaumont Downtown,Beaumont,TX,185,4.500,2026-12-31,18500000,18900000,1.23,0.87,2220000,Jefferson
FM096,Port Arthur Harbor,Port Arthur,TX,160,4.625,2026-06-30,16000000,16300000,1.20,0.86,1920000,Jefferson
FM097,Orange Industrial,Orange,TX,155,4.750,2026-03-31,15500000,15800000,1.17,0.84,1736000,Orange
FM098,Lumberton Pines,Lumberton,TX,145,4.375,2027-09-30,14500000,14800000,1.25,0.89,1812500,Hardin
FM099,Silsbee Timber Town,Silsbee,TX,140,4.250,2028-03-31,14000000,14300000,1.30,0.92,1820000,Hardin
FM100,Kirbyville Pine Forest,Kirbyville,TX,135,4.125,2028-12-31,13500000,13800000,1.28,0.90,1620000,Jasper
FM101,Jacksonville Trails,Jacksonville,TX,165,4.375,2027-06-30,16500000,16800000,1.26,0.91,2145000,Cheroklee
FM102,Longview Commerce,Longview,TX,180,4.250,2027-12-31,18000000,18300000,1.28,0.92,2295000,Gregg
FM103,Marshall Historic District,Marshall,TX,155,4.500,2026-12-31,15500000,15800000,1.22,0.87,1736000,Harrison
FM104,Texarkana Twin States,Texarkana,TX,175,4.625,2026-09-30,17500000,17800000,1.20,0.86,2100000,Bowie
FM105,Athens Liberty,Athens,TX,160,4.375,2027-03-31,16000000,16300000,1.26,0.89,2080000,Henderson
FM106,Canton Downtown,Canton,TX,145,4.250,2027-12-31,14500000,14800000,1.27,0.91,1812500,Van Zandt
FM107,Corsicana Commercial,Corsicana,TX,150,4.500,2026-12-31,15000000,15300000,1.22,0.87,1650000,Navarro
FM108,Waco Central Station,Waco,TX,195,4.125,2028-06-30,19500000,19800000,1.31,0.93,2498000,McLennan
FM109,Temple Heights,Temple,TX,175,4.250,2027-09-30,17500000,17800000,1.28,0.91,2227500,Bell
FM110,Killeen Fort Hood,Killeen,TX,210,4.000,2029-03-31,21000000,21400000,1.39,0.94,2835000,Bell
FM111,Copperas Cove Military,Copperas Cove,TX,160,4.375,2027-06-30,16000000,16300000,1.26,0.90,2080000,Coryell
FM112,Round Rock Tech Corridor,Round Rock,TX,220,4.125,2028-09-30,22000000,22400000,1.32,0.93,2860000,Williamson
FM113,Cedar Park Westlake,Cedar Park,TX,185,4.000,2029-01-31,18500000,18800000,1.38,0.94,2497500,Williamson
FM114,Pflugerville Corporate,Pflugerville,TX,175,4.250,2027-12-31,17500000,17800000,1.28,0.92,2227500,Travis
FM115,Georgetown Historic,Georgetown,TX,150,4.375,2027-06-30,15000000,15300000,1.25,0.89,1875000,Williamson
FM116,San Marcos Central,San Marcos,TX,160,4.625,2026-09-30,16000000,16300000,1.19,0.85,1760000,Hays
FM117,Kyle Community,Kyle,TX,145,4.750,2026-03-31,14500000,14800000,1.16,0.83,1595000,Hays
FM118,Buda Parkside,Buda,TX,140,4.375,2027-09-30,14000000,14300000,1.25,0.88,1750000,Hays
FM119,Wimberley Hill Country,Wimberley,TX,130,4.500,2026-12-31,13000000,13200000,1.21,0.86,1430000,Hays
FM120,New Braunfels Guadalupe,New Braunfels,TX,165,4.625,2026-06-30,16500000,16800000,1.20,0.87,1980000,Comal
FM121,Seguin Riverside,Seguin,TX,155,4.750,2026-03-31,15500000,15800000,1.17,0.84,1829000,Guadalupe
FM122,Boerne Hill Country,Boerne,TX,145,4.375,2027-09-30,14500000,14800000,1.25,0.89,1812500,Kendall
FM123,Kerrville Heritage,Kerrville,TX,140,4.250,2028-03-31,14000000,14300000,1.30,0.92,1820000,Kerr
FM124,Fredericksburg Mountain,Fredericksburg,TX,125,4.125,2028-12-31,12500000,12800000,1.28,0.90,1500000,Gillespie
FM125,Burnet Highland,Burnet,TX,135,4.500,2026-12-31,13500000,13800000,1.22,0.86,1620000,Burnet
